8,Social Influencer,I,trigger_response,event_invite,Premiery i eventy,Chce ekskluzywności,"Czy dostanę zaproszenie na Cybertruck tour?","Backstage dostęp?",event_access;fomo,"Mam 2 passy VIP na Berlin Factory Tour.","Meet & greet z inżynierami.","Możliwość nagrania backstage.","Travel covered.",vip_pass,"VIP tour gratis","Factory tour, backstage","Kiedy pasuje Ci termin wrześniowy?",Invite iCal,thrilled,mid,raise,1,"Twoje backstage stories będą hitem tygodnia.",PL,NA,Berlin_Tour
8,Social Influencer,I,follow_up,merch_drop,Monetyzacja,Boi się niskiego CPM,"Czy merch z Teslą jest licencjonowany?","Marża sklepu?",merch;revenue,"Program affiliate 5 % od merch.","Design co-branding zatwierdza Tesla szybciej niż 72 h.","Dropship prosto z NL magazynu.","Średnia konwersja 4,2 %.",affiliate_stats,"5 % prowizji","Co-brand merch, dropship","Chcesz mock-up koszulki na dzisiaj?",Mockup link,entrepreneur,late,raise,1,"Twoi fani kupią, zanim opadnie kurz po premierze.",PL,NA,Affiliates_Tesla
8,Social Influencer,I,closing,viral_hit,Domknięcie,Hype chwilowy,"Szybkość jest kluczem.","Muszę uzgodnić budżet.",speed_need;budget,"Rezerwacja 250 zł blokuje auto i event.","Zwrotna, jeśli KPI <20 % planu.","Pierwszy kontent w 72 h od odbioru.","Boost algorytmu – nowość trenduje.",speed_offer,"Trend 72 h","Model Y LightShow","Klikamy rezerwację dziś?",Stripe link,impulsive,late,raise,2,"Zamknijmy to teraz i złapmy falę trendu.",PL,NA,Launch_Speed
9,Performance Enthusiast,D+I,opening,thrill,Poczucie mocy,Sceptycyzm EV,"EV równa się nudny dźwięk.","Brak manuala.",thrill_seek;sound,"Czułeś kiedyś 0-100 km/h w 3,7 s bez turbolag?",NA,NA,NA,drag_race_video,"0-100 3,7 s","Track Mode, Launch Control","Chcesz sprawdzić G-meter?",Test drive invite,excited,early,raise,2,"Przekonajmy się dziś na pasie startowym.",PL,NA,DragRace_PL
9,Performance Enthusiast,D+I,feature_argument,track_mode,Osiągi torowe,Przegrzewanie baterii,"Bateria zwolni po 2 okrążeniach.","Brak chłodzenia hamulców.",thermal_fade;track,"Nowe chłodzenie-loop Plaid.","Track Mode dynamicznie rozdziela moment.","5 okr. Silesia Ring bez spadku mocy (AutoŚwiat).","Launch Control powtarzalne 10×.",autoswiat_track,"0 fade 5 okr.","Track Mode, Brembo","Umówmy track-day demo?",Track invite,adrenaline,mid,raise,2,"Twój czas okrążenia zweryfikuje marketing.",PL,NA,AutoSwiat
9,Performance Enthusiast,D+I,objection_handling,brake_wear,Koszt hamulców,Wysoka masa EV,"Klocki zetrą się szybciej.","Ceramic kit drogi.",brake_cost;weight,"Regen ham redukuje użycie klocków 70 %.","Zestaw Boost ceramiczny 18 tys. vs 30 tys. AMG.","Pad wear sensor w aplikacji.","Serwis wymienia w 45 min.",service_stats,"-70 % użycia klocków","Regen, ceramic option","Czy planujesz track-day raz w miesiącu?",PDF Brake Tech,practical,mid,neutral,1,"Mniej tarcia = więcej okrążeń za te same pieniądze.",PL,NA,Service_Stats
9,Performance Enthusiast,D+I,trigger_response,software_boost,OTA Boost,Chce więcej mocy,"Czy można podkręcić soft?","Ile koszt FSD + Boost?",power_upgrade;ota,"Accel Boost 1 990 € +50 KM.","Instalacja OTA 15 min, brak wizyty.","Możliwość de-aktywacji dla gwarancji.","Bundle -15 % z FSD.",boost_offer,"+50 KM 15 min","Accel Boost, OTA","Kupujemy dziś czy po test-drive?",App purchase link,thrilled,mid,raise,1,"Kliknij Boost i poczuj różnicę na kolejnej prostce.",PL,NA,Boost_Offer
9,Performance Enthusiast,D+I,follow_up,drag_stats,Statystyki,Chce dowody,"Benchmark vs M3","Tesla heavy",benchmarks;proof,"AutoBild drag test 400 m 12,1 s.","M3 Comp 12,6 s.","Wideo z GPS RaceBox.","Plik CSV telemetry.",autobild_drag,"-0,5 s na 400 m","Track Mode, Launch","Przesyłam telemetrię – analizujesz sektory?",CSV link,competitive,late,raise,1,"Fakty przyspieszają decyzję szybciej niż auto.",PL,NA,AutoBild_Drag
9,Performance Enthusiast,D+I,closing,track_deal,Domykanie,Hype może opaść,"Muszę sprzedać STI.","Czekam na fundusze.",garage_space;budget,"Oferuję trade-in online 24 h.","Gwarantowana cena 90 tys. PLN.","Zaliczka 500 zł blokuje Model Y Performance.","Track-day voucher gratis.",tradein_offer,"Voucher track-day gratis","Performance AWD, Boost","Akceptujemy wycenę trade-in?",Trade-in link,decisive,late,raise,2,"Zatrzymasz wspomnienia STI, ale pobijesz czasy Teslą.",PL,NA,Tradein_Program
10,Business Optimizer,C+D,opening,fleet_roi,Redukcja kosztów floty,Ryzyko inwestycji,"ROI niepewny.","Czy pracownicy zaakceptują EV?",fleet_risk;roi,"Czy 26 % oszczędności CAPEX+OPEX brzmi interesująco?",NA,NA,NA,fleet_case,"-26 % koszt","Fleet API, SC","Ile aut wymieniacie rocznie?",Fleet survey,curious,early,raise,2,"Pokażmy liczby na Waszej flocie.",PL,NA,Fleet_Case
10,Business Optimizer,C+D,feature_argument,uptime,Maksymalny uptime,Przestój ładowania,"EV stoją, nie jeżdżą.","Brak serwisu mobilnego.",uptime;service,"Mobilny serwis 80% napraw onsite.","99,7 % uptime floty DHL EV.","SC sieć 30 lokalizacji PL.","Plan ładowania nocą z automatu.",dhl_case,"99,7 % uptime","Mobile Service, Scheduler","Który KPI uptime jest krytyczny?",Uptime sheet,analytical,mid,raise,2,"Więcej czasu na drodze = większy zysk.",PL,NA,DHL_EFLEET
10,Business Optimizer,C+D,objection_handling,accounting,Księgowość IFRS 16,Obawa o klasyfikację,"Czy FSD leasing to CAPEX?","Odpisy amort.?",ifrs;tax,"PKWiU 29 – stawka 50 % Vat odlicz.","FSD to usługa subskrypcji OPEX.","Amort. 20%/rok przy wykupie.","Ekspert KPMG whitepaper w zał.",kpmg_whitepaper,"Vat 50 % odlicz.","Subscription FSD","Czy zaprosić CFO na call?",Whitepaper link,pragmatic,mid,neutral,1,"Reguły księgowe mamy rozpisane – unikamy niespodzianek.",PL,NA,KPMG_2025
10,Business Optimizer,C+D,trigger_response,bulk_discount,Upust flotowy,Ruchome ceny,"Upusty znikną po Q2.","Czy jest rabat od 5 szt.?",discount;negotiation,"Rabat 3 % od 5 szt., 5 % od 10.","Bonus 6 mies. Supercharger.","Dostawa synchroniczna.","Dedykowany opiekun BDM.",bulk_offer,"-5 % 10 szt.","LR AWD, SC credits","Ile aut planujecie w Q1?",Proposal PDF,opportunistic,mid,raise,1,"Zablokujmy rabat przed końcem kwartału.",PL,NA,Bulk_Offer
10,Business Optimizer,C+D,follow_up,telematics,Integracja telematyki,Silos danych,"API nieobsługiwane.","Brak MapBox token.",api_barrier;data,"Webhook JSON demo z VIN 3.","Przykład PowerBI dashboard.","SDK open-source GitHub.","Bez opłat licencyjnych.",github_repo,"0 zł SDK","Webhook, JSON","Potrzeba PoC 1 tydzień?",GitHub link,techy,late,raise,1,"PoC pokaże pełną automatyzację raportów.",PL,NA,GitHub_SDK
10,Business Optimizer,C+D,closing,fleet_switch,Decyzja flotowa,Potrzeba akceptu zarządu,"Muszę przedstawić case board.","ROI niezatwierdzony.",board_approval;delay,"One-pager ROI gotowy do podpisu.","Board deck 10 slajdów pre-filled.","Cena i rabat trzymam 14 dni.","Pierwsze 3 auta demo 0 zł depozyt.",board_pack,"Demo 0 zł","Model Y LR, API","Czy wysyłamy deck dziś?",Board deck,determined,late,raise,2,"Gdy zarząd zobaczy ROI, podpiszmy bulk order.",PL,NA,Board_Pack
11,Eco-Economist,C+S,opening,co2_math,Minimalne LCA,Greenwashing,"Czy EV faktycznie mniej CO2?","Bateria litowa to problem.",lca_doubt;env_econ,"Przedstawię LCA Politechniki Gdańskiej – 50% mniej CO2 life-cycle.",NA,NA,NA,LCA_chart,"-50 % CO2","HEPA, PV-ready","Który etap LCA jest kluczowy?",LCA PDF,analytical,early,raise,2,"Zacznijmy od pełnych danych cyklu życia.",PL,NA,PG_LCA
11,Eco-Economist,C+S,feature_argument,pv_synergy,Synergia z OZE,Pytania o grid mix,"Nocą prąd z węgla.","Czy to ma sens bez PV?",grid_mix;renewables,"Ładowanie 80% nocą – mix 30% OZE.","PV domu 6 kWp pokryje 14 tys. km/rok.","V2H w roadmap 2026.","Wallbox mod. dynamiczne obciążenie.",oee_data,"14 tys. km PV","PV-ready, V2H","Czy rozważasz magazyn domowy?",Home battery brochure,hopeful,mid,raise,2,"Samowystarczalność i mobilność w jednym – policzmy to.",PL,NA,OZE_Data
11,Eco-Economist,C+S,objection_handling,battery_recycle,Recykling baterii,Obawa o odpady,"Co po 10 latach z baterią?","Brak zakładów recyklingu.",recycle_fear;eco,"Tesla odzyskuje 92% surowców (Nevada).","Umowa z Elemental Holding Jaworzno 2025.","Logistyka reverse gratis.","Certyfikat recyklingu dla klienta.",elemental_press,"92 % odzysk","Closed-loop","Certyfikat recyklingu ważny dla Ciebie?",Cert sample,relieved,mid,neutral,1,"Bateria wróci do obiegu, nie na wysypisko.",PL,NA,Elemental_Tesla
11,Eco-Economist,C+S,trigger_response,carbon_credits,Kredyty węglowe,Chce monetyzacji,"Czy mogę sprzedać redukcję CO2?","Jak to rozliczyć?",carbon_trading;roi,"Platforma KlimaDAO tokenizuje EV offset.","Średnio 1,2 t CO2/rok, cena 45 €/t.","Integracja API VIN-based.","Opłata platformy 5 %.",klimadao_case,"54 €/rok przychodu","API Offset","Czy potrzebna kalkulacja księgowa?",Offset guide,enterprising,mid,raise,1,"Zarabiaj na jeździe – to podwójny zysk.",PL,NA,KlimaDAO
11,Eco-Economist,C+S,follow_up,policy_change,Regulacje,Chce przewidzieć prawo,"Podatek od baterii?","Opłaty drogowe?",policy_risk;future,"Projekt UTD 2026 zwalnia EV z opłaty 5 lat.","Strefy Czystego Transportu darmowe.","Rząd planuje opłatę CO2 dla ICE 2027.","Raport PSPA w zal.",pspa_report,"0 zł SCT","Clean Zone Access","Czy potrzebny jest scenariusz polityczny?",Report link,cautious,late,raise,1,"Prawo pracuje na Twoją korzyść – wykorzystaj przewagę.",PL,NA,PSPA_2024
11,Eco-Economist,C+S,closing,green_invest,Domykanie,Zgodność z wartościami,"Muszę jeszcze porównać z hybrydą.","ROI vs PHEV?",phev_compare;delay,"TCO hybryda droższy 11% (PG kalk.).","Brak zwolnień z SCT.","EV ma 40 tys. dotacji.","Decyzja dziś oszczędza 5 tys. podwyżki cennika.",pg_calc,"11 % drożej PHEV","EV dotacja 40 k","Czy finalizujemy wniosek?",Eco sign,caring,late,raise,2,"Zainwestuj w czysty zysk – i dla planety, i dla portfela.",PL,NA,PG_TCO
12,Cautious Adopter,S+C,opening,low_risk,Zmniejszyć ryzyko,Brak pewności,"Nie znam się na EV.","Czy awarie są drogie?",risk_aversion;unknown,"Czy chce Pan zacząć od 30-dniowego wynajmu próbnego?",NA,NA,NA,try_before_buy,"30 dni test","Short-term lease","Kiedy pasuje odbiór demo?",Trial link,nervous,early,raise,2,"Spróbuj bez zobowiązań – to najlepszy sposób, by poznać EV.",PL,NA,Try_Rent
12,Cautious Adopter,S+C,feature_argument,simplicity,Prostota obsługi,Boją się technologii,"Za dużo ekranów.","Brak kluczyka.",tech_overload;usability,"Karta NFC + aplikacja, zero menu skompl.","Zobrazujmy 3 kroki startu.","Asystent głosowy po polsku.","Manual wideo 5 min.",video_manual,"3 kroki start","Voice, NFC card","Czy aplikacje są kłopotem?",Manual link,reassured,mid,raise,2,"Prostota = mniej stresu – pokażę w praktyce.",PL,NA,User_Manual
12,Cautious Adopter,S+C,objection_handling,resale,Boją się spadku wartości,"EV nikt nie kupi za 5 lat.","Używki stoją miesiącami.",resale_value;fear,"Dane Otomoto: średni czas sprzedaży Model 3 11 dni.","Wartość 5-letnia 58 % ceny.","Battery cert transfer.","Program buy-back 48 mies.",otomoto_days,"11 dni średnio","Buy-back, cert.","Czy wykup gwarancji odkupu zwiększy zaufanie?",Buyback PDF,hopeful,mid,neutral,1,"Wiesz, ile dostaniesz przy odsprzedaży – zero niewiadomych.",PL,NA,Otomoto_Stats
12,Cautious Adopter,S+C,trigger_response,service_plan,Gwarancja,Boją się kosztów,"Co jeśli coś padnie?","Serwis daleko.",service_worry;distance,"Pakiet Service Plan 3 lata 0 zł.","Mobilny serwis 70% napraw na miejscu.","Holowanie 24/7 w cenie.","Auto zastępcze D+1.",service_plan_doc,"0 zł plan 3 lata","Mobile Service, towing","Czy taka gwarancja daje spokój?",Plan link,relieved,mid,raise,1,"Gwarancja bez kosztów zamyka temat ryzyka.",PL,NA,Service_Plan
12,Cautious Adopter,S+C,follow_up,peer_story,Historie innych,Boją się osamotnienia,"Brak znajomych z EV.","Nie mam kogo zapytać.",peer_support;community,"Zaproszenie do grupy FB Tesla PL 7 tys. użytk.","Live Q&A co wtorek.","Webinar „Pierwszy miesiąc z Teslą”.","Case study emeryta z Rzeszowa.",fb_group_link,"7 tys. userów","Community, Webinar","Czy zapiszę Pana na Q&A?",Link webinar,supported,late,raise,1,"Poznaj ludzi, którzy już to zrobili – i nie żałują.",PL,NA,FB_Group
12,Cautious Adopter,S+C,closing,zero_pressure,Zamknięcie bez presji,Strach przed pochopną decyzją,"Muszę to przemyśleć.","Nie chcę pośpiechu.",low_pressure;delay,"Rezerwacja 500 zł zwrotna 30 dni.","Dotacja pula 80 %.","Cena zamrożona na miesiąc.","Test drive można powtórzyć.",low_pressure_offer,"Cena zablokowana 30 dni","RWD, Service plan","Czy rezerwujemy, by mieć czas na decyzję?",Payment link,calm,late,neutral,2,"Zablokujmy cenę – decyzję podejmiesz na spokojnie.",PL,NA,LowPressure_Offer
```csv
archetype_id,archetype_name,disc_mix,content_type,subtype_tag,primary_motivation,underlying_fear,top_objection,secondary_objection,key_triggers_ids,recommended_opening_line,argument_stack_soft,argument_stack_medium,argument_stack_strong,social_proof_asset,roi_tco_hook,feature_priority_hint,next_best_question,follow_up_recommendation,emotional_valence_label,optimal_sequence_position,expected_momentum_effect,contextual_weight_hint,conversion_closure_phrase,market_scope,country,data_source_note
1,Green Pioneer Family,S+I,opening,eco_family,Dbanie o przyszłość planety i bezpieczeństwo rodziny, bycie na czele innowacji.,Negatywny wpływ na środowisko, brak nowoczesnych rozwiązań dla rodziny.,NA,NA,NA,"Dzień dobry! Szukają Państwo samochodu, który łączy ekologię, bezpieczeństwo i najnowsze technologie dla całej rodziny?",NA,NA,NA,NA,NA,NA,NA,NA,curious,early,raise,1.5,NA,PL,NA,doświadczenie sprzedażowe
1,Green Pioneer Family,S+I,feature_argument,safety_kids,Bezpieczeństwo dzieci i komfort podróży.,Ryzyko wypadku, brak zaawansowanych systemów ochrony.,NA,NA,NA,NA,"Tesla to jeden z najbezpieczniejszych samochodów na świecie, co potwierdzają niezależne testy.",Model Y uzyskał 5 gwiazdek w testach Euro NCAP, w tym wysokie oceny za ochronę dzieci i systemy wspomagające kierowcę.,Dzięki unikalnej konstrukcji i systemom jak Autopilot, Tesla aktywnie chroni pasażerów, minimalizując ryzyko kolizji i zapewniając spokój ducha.,"ranking_EuroNCAP_5star",NA,"Bezpieczeństwo 5*, Autopilot, przestronność",NA,NA,trusting,mid,raise,1.8,NA,PL,NA,testy Euro NCAP
1,Green Pioneer Family,S+I,objection_handling,cost_initial,NA,NA,"Tesla jest za droga na start.","Nie wiem, czy koszty eksploatacji zrekompensują wyższą cenę.","price_concern;tco_uncertainty",NA,"Warto spojrzeć na Teslę jako inwestycję, która zwraca się w dłuższej perspektywie.","Dzięki dotacjom 'Mój Elektryk' (do 27 000 PLN) i niskim kosztom ładowania, całkowity koszt posiadania (TCO) Tesli jest często niższy niż aut spalinowych.","Analizy TCO pokazują, że w ciągu 5 lat oszczędności na paliwie, serwisie i podatkach mogą wynieść dziesiątki tysięcy złotych, a wartość rezydualna Tesli jest wysoka.","raport_TCO_PL_EV","Oszczędzasz ~1500-2000 PLN/mies. na paliwie i serwisie.","Czy chcieliby Państwo zobaczyć symulację TCO dla Państwa rocznego przebiegu?",NA,skeptical,mid,raise,1.7,NA,PL,NA,analiza rynku PL, program Mój Elektryk
1,Green Pioneer Family,S+I,trigger_response,eco_impact,NA,NA,NA,NA,"environmental_concern;sustainability_interest",NA,"NA","Wybierając Teslę, aktywnie wspierają Państwo redukcję emisji CO2 i budują czystszą przyszłość dla swoich dzieci.","NA","raport_Tesla_Impact_PL",NA,"NA",NA,NA,excited,mid,raise,1.2,NA,PL,NA,raporty branżowe
1,Green Pioneer Family,S+I,follow_up,TCO_dotacje,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kalkulator TCO dla rodziny, broszura o programie 'Mój Elektryk', link do testów bezpieczeństwa Euro NCAP.",curious,late,neutral,0.8,NA,PL,NA,doświadczenie sprzedażowe
1,Green Pioneer Family,S+I,closing,decision_support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,excited,late,raise,1.9,"Czy są Państwo gotowi, aby dołączyć do grona pionierów i zapewnić rodzinie bezpieczną, ekologiczną przyszłość z Teslą?",PL,NA,doświadczenie sprzedażowe
2,Safety-First Parents,S+C,opening,safety_family,Maksymalne bezpieczeństwo dla dzieci i spokój ducha, rozsądne koszty utrzymania.,Ryzyko wypadku, awarie, nieprzewidziane wysokie koszty.,NA,NA,NA,"Szukają Państwo samochodu, który zapewni najwyższe bezpieczeństwo Państwa rodzinie, jednocześnie będąc ekonomicznym wyborem?",NA,NA,NA,NA,NA,NA,NA,NA,anxious,early,raise,1.6,NA,PL,NA,doświadczenie sprzedażowe
2,Safety-First Parents,S+C,feature_argument,safety_features,Bezpieczeństwo pasażerów, zwłaszcza dzieci.,Obawy o niezawodność systemów bezpieczeństwa.,NA,NA,NA,NA,"Tesla konsekwentnie osiąga najwyższe oceny w testach bezpieczeństwa, przewyższając wiele aut premium.","Model 3 i Y to liderzy w swoich klasach pod względem ochrony dorosłych i dzieci, dzięki sztywnej konstrukcji i nisko położonemu środkowi ciężkości.","Zaawansowane systemy aktywnego bezpieczeństwa, takie jak automatyczne hamowanie awaryjne i ostrzeganie o kolizji, działają prewencyjnie, minimalizując ryzyko wypadków.",ranking_EuroNCAP_5star,NA,"Bezpieczeństwo 5*, Autopilot, systemy aktywnego bezpieczeństwa",NA,NA,trusting,mid,raise,1.9,NA,PL,NA,testy Euro NCAP
2,Safety-First Parents,S+C,objection_handling,service_availability,NA,NA,"Co jeśli coś się zepsuje, a serwis jest daleko?","Czy Tesla ma wystarczająco punktów serwisowych w Polsce?","service_availability;reliability_worry",NA,"Tesla rozwija sieć serwisową w Polsce, oferując również mobilny serwis.","Wiele napraw i aktualizacji odbywa się zdalnie (OTA), a w razie potrzeby mobilny serwisant przyjedzie do Państwa, oszczędzając czas.","Dzięki diagnostyce zdalnej i rozbudowanej sieci partnerów serwisowych, pomoc jest zawsze w zasięgu ręki, a większość problemów rozwiązywana jest szybko i sprawnie.","mapa_serwisow_Tesla_PL",NA,"NA","Czy mają Państwo obawy dotyczące konkretnego aspektu serwisu?",NA,skeptical,mid,raise,1.5,NA,PL,NA,doświadczenie sprzedażowe, dane Tesla PL
2,Safety-First Parents,S+C,trigger_response,cost_savings,NA,NA,NA,NA,"cost_concern;long_term_value",NA,"NA","Tesla oferuje znaczące oszczędności na paliwie i serwisie, co przekłada się na niższe koszty utrzymania rodziny.","NA","raport_TCO_PL_EV",NA,"NA",NA,NA,curious,mid,raise,1.3,NA,PL,NA,analiza rynku PL
2,Safety-First Parents,S+C,follow_up,safety_report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Szczegółowy raport bezpieczeństwa Tesli, lista punktów serwisowych w PL, kalkulator oszczędności.",anxious,late,neutral,0.9,NA,PL,NA,doświadczenie sprzedażowe
2,Safety-First Parents,S+C,closing,peace_of_mind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trusting,late,raise,1.8,"Czy są Państwo gotowi na spokój ducha i bezpieczeństwo, które Tesla oferuje Państwa rodzinie?",PL,NA,doświadczenie sprzedażowe
3,Budget-Conscious Family,S,opening,budget_family,Niskie koszty eksploatacji, bezpieczeństwo, praktyczność dla rodziny.,Ukryte koszty, wysokie rachunki za prąd, brak dostępności serwisu.,NA,NA,NA,"Szukają Państwo bezpiecznego i praktycznego samochodu rodzinnego, który nie obciąży zbytnio domowego budżetu?",NA,NA,NA,NA,NA,NA,NA,NA,curious,early,raise,1.4,NA,PL,NA,doświadczenie sprzedażowe
3,Budget-Conscious Family,S,feature_argument,running_costs,Niskie koszty utrzymania i eksploatacji.,Wysokie rachunki za prąd, drogi serwis.,NA,NA,NA,NA,"Koszty ładowania Tesli są znacznie niższe niż tankowania benzyny czy diesla.","Dzięki programowi 'Mój Elektryk' można uzyskać do 27 000 PLN dotacji, co obniża początkowy koszt zakupu.","Brak konieczności wymiany oleju, filtrów czy świec zapłonowych oznacza minimalne koszty serwisu, a hamowanie rekuperacyjne oszczędza klocki hamulcowe.","raport_TCO_PL_EV","Oszczędzasz ~1500-2000 PLN/mies. na paliwie.",NA,NA,NA,skeptical,mid,raise,1.7,NA,PL,NA,analiza rynku PL, program Mój Elektryk
3,Budget-Conscious Family,S,objection_handling,range_anxiety,NA,NA,"Czy zasięg Tesli wystarczy na nasze rodzinne wyjazdy?","Obawiam się, że będę musiał często ładować.","range_anxiety;charging_infrastructure",NA,"Większość Tesli oferuje zasięg ponad 400 km na jednym ładowaniu, co jest wystarczające na codzienne dojazdy.","Polska ma rozwijającą się sieć stacji Supercharger i publicznych ładowarek, a ładowanie w domu jest najwygodniejsze i najtańsze.","Planowanie trasy z Teslą jest proste dzięki nawigacji, która automatycznie uwzględnia stacje ładowania, zapewniając komfort nawet na długich trasach.","mapa_Supercharger_PL",NA,"NA","Jakie są Państwa typowe trasy i roczny przebieg?",NA,anxious,mid,raise,1.6,NA,PL,NA,dane Tesla PL, mapa ładowarek PL
3,Budget-Conscious Family,S,trigger_response,dotacje_PL,NA,NA,NA,NA,"subsidy_interest;cost_reduction",NA,"NA","Program 'Mój Elektryk' to realna szansa na obniżenie ceny Tesli, co czyni ją bardziej dostępną dla rodzinnego budżetu.","NA","broszura_Mój_Elektryk",NA,"NA",NA,NA,excited,mid,raise,1.4,NA,PL,NA,program Mój Elektryk
3,Budget-Conscious Family,S,follow_up,budget_guide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Przewodnik po dotacjach 'Mój Elektryk', symulacja oszczędności na paliwie i serwisie, lista stacji ładowania w okolicy.",curious,late,neutral,0.8,NA,PL,NA,doświadczenie sprzedażowe
3,Budget-Conscious Family,S,closing,smart_investment,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,trusting,late,raise,1.7,"Czy są Państwo gotowi na inteligentną inwestycję w bezpieczny i ekonomiczny samochód rodzinny?",PL,NA,doświadczenie sprzedażowe
4,Tech Executive,D+C,opening,tech_innovation,Dostęp do najnowszych technologii, optymalizacja czasu i kosztów, status.,Przestarzałe rozwiązania, niska wydajność, brak kontroli nad danymi.,NA,NA,NA,"Jako lider, szuka Pan/Pani rozwiązań, które wyprzedzają konkurencję i optymalizują każdy aspekt życia i biznesu?",NA,NA,NA,NA,NA,NA,NA,NA,status-seeking,early,raise,1.8,NA,PL,NA,doświadczenie sprzedażowe
4,Tech Executive,D+C,feature_argument,software_updates,Dostęp do najnowszych funkcji i ulepszeń.,Przestarzałe oprogramowanie, brak innowacji.,NA,NA,NA,NA,"Tesla to jedyny samochód, który staje się lepszy z czasem dzięki bezprzewodowym aktualizacjom oprogramowania (OTA).","Regularne aktualizacje wprowadzają nowe funkcje, poprawiają wydajność i bezpieczeństwo, zapewniając, że Państwa Tesla zawsze będzie na czele technologii.","To jak posiadanie smartfona, który sam się ulepsza – zawsze ma Pan/Pani dostęp do najnowszych innowacji bez wizyty w serwisie.","raport_Tesla_OTA_features",NA,"OTA, Autopilot, FSD, interfejs użytkownika",NA,NA,excited,mid,raise,1.9,NA,PL,NA,dane Tesla Global
4,Tech Executive,D+C,objection_handling,interior_design,NA,NA,"Wnętrze Tesli jest zbyt minimalistyczne, brakuje mi fizycznych przycisków.","Czy to wnętrze jest wystarczająco premium?","design_preference;haptic_feedback",NA,"Minimalistyczny design Tesli to świadoma decyzja, która skupia się na intuicyjności i funkcjonalności.","Wszystkie kluczowe funkcje są dostępne na dużym ekranie dotykowym, co eliminuje rozpraszacze i pozwala na pełną personalizację.","To przyszłość motoryzacji – intuicyjny interfejs, który jest stale aktualizowany i dostosowywany do Państwa potrzeb, oferując jednocześnie wysoką jakość materiałów.",NA,NA,"NA","Jakie elementy wnętrza są dla Pana/Pani najważniejsze?",NA,skeptical,mid,raise,1.6,NA,PL,NA,doświadczenie sprzedażowe
4,Tech Executive,D+C,trigger_response,data_analytics,NA,NA,NA,NA,"data_insights;efficiency_metrics",NA,"NA","Tesla dostarcza szczegółowe dane o zużyciu energii i stylu jazdy, co pozwala na precyzyjną optymalizację kosztów i efektywności.","NA","dashboard_Tesla_app_demo",NA,"NA",NA,NA,curious,mid,raise,1.5,NA,PL,NA,dane Tesla Global
4,Tech Executive,D+C,follow_up,tech_spec_sheet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Szczegółowa specyfikacja techniczna, raport o aktualizacjach OTA, zaproszenie na jazdę testową z demonstracją FSD.",status-seeking,late,neutral,0.9,NA,PL,NA,doświadczenie sprzedażowe
4,Tech Executive,D+C,closing,future_leadership,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,status-seeking,late,raise,1.9,"Czy jest Pan/Pani gotów/gotowa na przyszłość, która pozwoli Panu/Pani utrzymać przewagę technologiczną i biznesową?",PL,NA,doświadczenie sprzedażowe
5,Early Adopter,I+D,opening,innovation_seeker,Bycie pierwszym, doświadczanie nowości, unikalne wrażenia.,Brak nowości, bycie "z tyłu", utrata statusu innowatora.,NA,NA,NA,"Jako osoba, która zawsze wyprzedza trendy, szuka Pan/Pani czegoś, co zdefiniuje przyszłość motoryzacji?",NA,NA,NA,NA,NA,NA,NA,NA,excited,early,raise,1.7,NA,PL,NA,doświadczenie sprzedażowe
5,Early Adopter,I+D,feature_argument,new_tech_experience,Unikalne doświadczenia z jazdy, dostęp do najnowszych innowacji.,Nudna jazda, brak ekscytacji.,NA,NA,NA,NA,"Tesla to nie tylko samochód, to platforma technologiczna, która oferuje niespotykane wrażenia z jazdy.","Od natychmiastowego momentu obrotowego po zaawansowane funkcje Autopilota, każda podróż Teslą to odkrywanie nowych możliwości.","System FSD (Full Self-Driving) to przyszłość autonomicznej jazdy, którą mogą Państwo doświadczyć już dziś, będąc częścią rewolucji.",video_Tesla_FSD_beta,NA,"FSD, Autopilot, tryb Track, przyspieszenie",NA,NA,excited,mid,raise,1.9,NA,PL,NA,dane Tesla Global
5,Early Adopter,I+D,objection_handling,software_bugs,NA,NA,"Czy oprogramowanie Tesli jest już wystarczająco dopracowane?","Obawiam się, że będą błędy i niedociągnięcia.","tech_reliability;software_glitches",NA,"Tesla, jako lider innowacji, stale udoskonala swoje oprogramowanie poprzez regularne aktualizacje OTA.","Wszelkie ewentualne niedociągnięcia są szybko eliminowane, a nowe funkcje dodawane, co sprawia, że samochód staje się coraz lepszy.","To dynamiczny proces rozwoju, w którym Państwo, jako wczesny użytkownik, macie realny wpływ na kształtowanie przyszłości motoryzacji.",NA,NA,"NA","Jakie konkretne obawy dotyczące oprogramowania Państwo mają?",NA,skeptical,mid,raise,1.5,NA,PL,NA,doświadczenie sprzedażowe
